Product,Sub Product,Ads Cost,Ads FB MSG,Ads FB Salepage,Ads Tiktok Ads,Ads Tiktok Aff,Ads Shopify,Ads Shopee,Ads Lazada,Ads Website,Ads Instagram,Ads Line,Sale Total,Sale FB MSG,Sale FB Salepage,Sale Tiktok,Sale Tiktok Aff,Sale Shopee,Sale Lazada,Sale Shopify,Sale Line,Sale Instagram,Sale Website,% Ads,% Ads FB MSG,% Ads FB Salepage,% Ads Tiktok Ads,% Ads Tiktok Aff,% Ads Shopify,% Ads Shopee,% Ads Lazada,% Ads Website,% Ads Instagram,% Ads Line,วันที่
[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,*OPD [E-BOOK] ยินดีต้อนรับและขอบคุณที่กลับมา,0,0,0,0,0,0,0,0,0,0,0,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,*OPD [E-BOOK] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,*[E-BOOK] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,32903,250,0,8904,20458,3291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,2147.33,0,0,105.17,1894.06,0,148.1,0,0,0,0,7300,251,0,584,4845,1320,0,0,0,300,0,29.42,0,0,18.01,39.09,0,11.22,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,*OPD [E-BOOK] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,588.11,0,0,31.83,556.28,0,0,0,0,0,0,1995,0,0,0,1995,0,0,0,0,0,0,29.48,0,0,0,27.88,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,*OPD [E-BOOK] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,0,0,0,0,0,0,0,0,0,0,0,1713,529,0,296,592,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,9712.88,0,0,2957.39,6555.49,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,*OPD [E-BOOK] ทุกความทรงจำคือของขวัญจากวันวาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),3512.91,163.55,0,70.6,3278.76,0,0,0,0,0,0,11307,558,0,809,9661,279,0,0,0,0,0,31.07,29.31,0,8.73,33.94,0,0,0,0,0,0,2026-02-23
[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),*OPD [E-BOOK] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ฉันจะมีชีวิตที่ดี,*OPD [E-BOOK] ฉันจะมีชีวิตที่ดี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ความลับสู่เงินล้านที่โรงเรียนไม่เคยสอน (THE MILLIONAIRE'S TOP SECRET),[หนังสือ] ความลับสู่เงินล้านที่โรงเรียนไม่เคยสอน (THE MILLIONAIRE'S TOP SECRET),627.84,0,0,48,579.84,0,0,0,0,0,0,1776,0,0,0,1480,296,0,0,0,0,0,35.35,0,0,0,39.18,0,0,0,0,0,0,2026-02-23
[หนังสือ] ความลับสู่เงินล้านที่โรงเรียนไม่เคยสอน (THE MILLIONAIRE'S TOP SECRET),*OPD [E-BOOK] ความลับสู่เงินล้านที่โรงเรียนไม่เคยสอน (THE MILLIONAIRE'S TOP SECRET),0,0,0,0,0,0,0,0,0,0,0,142,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,2033.64,1668.39,0,55.97,309.28,0,0,0,0,0,0,4075,2250,0,-296,1859,262,0,0,0,0,0,49.91,74.15,0,-18.91,16.64,0,0,0,0,0,0,2026-02-23
[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,*OPD [E-BOOK] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] กับดักความรู้สึกผิด,[หนังสือ] กับดักความรู้สึกผิด,17897.6,12933.11,0,2751.16,1522.15,472.67,218.51,0,0,0,0,55329,16226,0,4029,4716,28364,0,1635,0,359,0,32.35,79.71,0,68.28,32.28,28.91,0.77,0,0,0,0,2026-02-23
[หนังสือ] กับดักความรู้สึกผิด,*OPD [E-BOOK] กับดักความรู้สึกผิด,0,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,1765.74,833.56,0,332.23,499.95,0,100,0,0,0,0,1308,0,0,957,0,351,0,0,0,0,0,135,0,0,34.72,0,0,28.49,0,0,0,0,2026-02-23
[หนังสือ] ฉันจะมีชีวิตที่ดี,[หนังสือ] ฉันจะมีชีวิตที่ดี,884.69,262.1,0,54.08,568.51,0,0,0,0,0,0,1960,590,0,0,809,266,0,0,295,0,0,45.14,44.42,0,0,70.27,0,0,0,0,0,0,2026-02-23
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,*OPD [E-BOOK] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,[หนังสือ] BOXSET THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,0,0,0,0,0,0,0,0,0,0,0,3465,899,0,529,0,2037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย,[หนังสือ] GHOSTLY REMAINS ปลดพันธนาการดวงวิญญาณหลังความตาย,1437.82,453.77,0,492.62,491.43,0,0,0,0,0,0,2577,769,0,598,219,991,0,0,0,0,0,55.79,59.01,0,82.38,224.4,0,0,0,0,0,0,2026-02-23
[หนังสือ] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,[หนังสือ] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,3577.13,879.22,0,427.8,2041.09,167.16,61.86,0,0,0,0,6016,1659,0,2323,-5,2039,0,0,0,0,0,59.46,53,0,18.42,-40821.8,0,3.03,0,0,0,0,2026-02-23
[หนังสือ] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,*OPD [E-BOOK] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,*[E-BOOK] GHOSTLY BREWS ยินดีบริการดวงวิญญาณหลังเที่ยงคืน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,185.43,185.43,0,0,0,0,0,0,0,0,0,667,0,0,0,350,317,0,0,0,0,0,27.8,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,*OPD [E-BOOK] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,[หนังสือ] BOXSET เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,0,0,0,0,0,0,0,0,0,0,0,449,0,0,0,0,449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,*[E-BOOK] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-23
[หนังสือ] ฉันจะมีชีวิตที่ดี,[หนังสือ] ฉันจะมีชีวิตที่ดี,4932.47,288.67,0,99.57,4544.23,0,0,0,0,0,0,8176,590,0,295,7025,266,0,0,0,0,0,60.33,48.93,0,33.75,64.69,0,0,0,0,0,0,2026-02-24
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,696.28,0,0,78.73,617.55,0,0,0,0,0,0,1266,0,0,305,610,351,0,0,0,0,0,55,0,0,25.81,101.24,0,0,0,0,0,0,2026-02-24
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,*OPD [E-BOOK] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] วันไหนที่ใจแข็งแรง ดอกไม้จะผลิบาน THE ENCHANTED GARDEN,[หนังสือ] สวนของหัวใจ BLOSSOMS OF THE SOUL’S GARDEN,0,0,0,0,0,0,0,0,0,0,0,1242,0,0,0,621,621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,300.6,0,0,267.58,33.02,0,0,0,0,0,0,723,400,0,0,0,323,0,0,0,0,0,41.58,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ยินดีต้อนรับและขอบคุณที่กลับมา,*OPD [E-BOOK] ยินดีต้อนรับและขอบคุณที่กลับมา,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,9418.46,0,0,1252.5,7965.96,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,*OPD [E-BOOK] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,*[E-BOOK] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ฉันจะมีชีวิตที่ดี,*OPD [E-BOOK] ฉันจะมีชีวิตที่ดี,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHT THE DEMONS IN MY HEART,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง A GUIDE TO FIGHTING THE DEMONS IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,36040.33,300,0,4241,26001,5186,312.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,*OPD [E-BOOK] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,324.44,0,0,9.86,314.58,0,0,0,0,0,0,1004,0,0,0,678,326,0,0,0,0,0,32.31,0,0,0,46.4,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,*OPD [E-BOOK] ปีศาจความรักมักเลือกฉันเป็นเหยื่อ HOW TO FIGHT THE LOVE DEMON IN MY HEART,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,0,0,0,0,0,0,0,0,0,0,0,921,329,0,0,296,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ทุกความทรงจำคือของขวัญจากวันวาน,*OPD [E-BOOK] ทุกความทรงจำคือของขวัญจากวันวาน,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,376.66,0,0,98.27,278.39,0,0,0,0,0,0,1019,0,0,351,351,317,0,0,0,0,0,36.96,0,0,28,79.31,0,0,0,0,0,0,2026-02-24
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,*OPD [E-BOOK] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,[หนังสือ] BOXSET ถ้าโลกมันแย่ ก็แค่คิดแบบคาปิบาร่า THINK LIKE A HAPPYBARA,0,0,0,0,0,0,0,0,0,0,0,1062,0,0,0,0,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,[หนังสือ] ปีศาจตัวนั้น คือฉันเอง 2 A GUIDE TO OVERCOMING THE RETURN OF THE DEMONS,3089.75,0,0,131.77,2857.97,0,100,0.01,0,0,0,13776,940,0,2074,7720,3042,0,0,0,0,0,22.43,0,0,6.35,37.02,0,3.29,0,0,0,0,2026-02-24
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,133.54,133.54,0,0,0,0,0,0,0,0,0,1739,390,0,702,329,318,0,0,0,0,0,7.68,34.24,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,*OPD [E-BOOK] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,[หนังสือ] BOXSET เหนื่อยมากไหม พักก่อนก็ได้นะวันนี้,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),*OPD [E-BOOK] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,2253.56,1239.93,0,94.8,918.83,0,0,0,0,0,0,5362,3290,0,296,1480,296,0,0,0,0,0,42.03,37.69,0,32.03,62.08,0,0,0,0,0,0,2026-02-24
[หนังสือ] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,*OPD [E-BOOK] ขอใช้ชีวิตที่เหลือ เพื่อตัวเองนะ,0,0,0,0,0,0,0,0,0,0,0,179,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] กับดักความรู้สึกผิด,[หนังสือ] กับดักความรู้สึกผิด,14016.96,10704.1,0,1848.83,940.64,423.39,100,0,0,0,0,43308,12427,0,4427,1699,23756,0,999,0,0,0,32.37,86.14,0,41.76,55.36,42.38,0.42,0,0,0,0,2026-02-24
[หนังสือ] กับดักความรู้สึกผิด,*OPD [E-BOOK] กับดักความรู้สึกผิด,0,0,0,0,0,0,0,0,0,0,0,180,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] กว่าจะคิดได้ ก็ไม่มีลมหายใจแล้ว (IT IS NEVER TOO LATE TO LOVE YOURSELF),[หนังสือ] กว่าจะคิดได้ ก็ไม่มีลมหายใจแล้ว (IT IS NEVER TOO LATE TO LOVE YOURSELF),0,0,0,0,0,0,0,0,0,0,0,379,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] กว่าจะคิดได้ ก็ไม่มีลมหายใจแล้ว (IT IS NEVER TOO LATE TO LOVE YOURSELF),*OPD [E-BOOK] กว่าจะคิดได้ ก็ไม่มีลมหายใจแล้ว (IT IS NEVER TOO LATE TO LOVE YOURSELF),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,2130.99,1201.5,0,297.59,556.08,0,75.82,0,0,0,0,2235,0,0,0,1298,937,0,0,0,0,0,95.35,0,0,0,42.84,0,8.09,0,0,0,0,2026-02-24
[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),[หนังสือ] โอบกอดความไม่สมบูรณ์แบบของเธอ (EMBRACE YOUR FLAWS),1634.78,660.74,0,42.57,931.47,0,0,0,0,0,0,7070,2232,0,809,3481,548,0,0,0,0,0,23.12,29.6,0,5.26,26.76,0,0,0,0,0,0,2026-02-24
[หนังสือ] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,*OPD [E-BOOK] THE WITCHES' CLUB ชมรมลับเปลี่ยนชีวิต,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026-02-24
